Id,Code,Description
484,6612,Activitati de intermediere a tranzactiilor financiare
485,6619,Activitati auxiliare intermedierilor financiare
486,6621,Activitati de evaluare a riscului de asigurare si a pagubelor
487,6622,Activitati ale agentilor si brokerilor de asigurari
488,6629,Alte activitati auxiliare activitatilor de asigurari si fonduri de pensii
489,6630,Activitati de administrare a fondurilor
490,6810,Cumpararea si vanzarea de bunuri imobiliare proprii
491,6820,inchirierea si subinchirierea bunurilor imobiliare proprii sau in leasing
492,6831,Agentii imobiliare
493,6832,Administrarea imobilelor pe baza de comision sau contract
494,6910,Activitati juridice
495,6920,Activitati de contabilitate si audit financiar; consultanta in domeniul fiscal
496,7010,Activitati ale directiilor (centralelor
497,7021,Activitati de consultanta in domeniul relatiilor publice si al comunicarii
498,7022,Activitati de consultanta pentru afaceri si management
499,7111,Activitati de arhitectura
500,7112,Activitati de inginerie si consultanta tehnica legate de acestea
501,7120,Activitati de testare si analize tehnice
502,7211,Cercetare-dezvoltare in biotehnologie
503,7219,Cercetare-dezvoltare in alte stiinte naturale si inginerie
504,7220,Cercetare-dezvoltare in stiinte sociale si umaniste
505,7311,Activitati ale agentiilor de publicitate
506,7312,Servicii de reprezentare media
507,7320,Activitati de studiere a pietei si de sondare a opiniei publice
508,7410,Activitati de design specializat
509,7420,Activitati fotografice
510,7430,Activitati de traducere scrisa si orala (interpreti
511,7490,Alte activitati profesionale
512,7500,Activitati veterinare
513,7711,Activitati de inchiriere si leasing cu autoturisme si autovehicule rutiere usoare
514,7712,Activitati de inchiriere si leasing cu autovehicule rutiere grele
515,7721,Activitati de inchiriere si leasing cu bunuri recreationale si echipament sportiv
516,7722,inchirierea de casete video si discuri (CD-uri
517,7729,Activitati de inchiriere si leasing cu alte bunuri personale si gospodaresti n.c.a.
518,7731,Activitati de inchiriere si leasing cu masini si echipamente agricole
519,7732,Activitati de inchiriere si leasing cu masini si echipamente pentru constructii
520,7733,Activitati de inchiriere si leasing cu masini si echipamente de birou (inclusiv calculatoare
521,7734,Activitati de inchiriere si leasing cu masini si echipamente de transport pe apa
522,7735,Activitati de inchiriere si leasing cu masini si echipamente de transport aerian
523,7739,Activitati de inchiriere si leasing cu alte masini
524,7740,Leasing cu bunuri intangibile (exclusiv financiare
525,7810,Activitati ale agentiilor de plasare a fortei de munca
526,7820,Activitati de contractare
527,7830,Alte servicii de furnizare a fortei de munca
528,7911,Activitati ale agentiilor turistice
529,7912,Activitati ale tur-operatorilor
530,7990,Alte servicii de rezervare si asistenta turistica
531,8010,Activitati de protectie si garda
532,8020,Activitati de servicii privind sistemele de securizare
533,8030,Activitati de investigatii
534,8110,Activitati de servicii suport combinate
535,8121,Activitati generale (nespecializate de curatenie interioara a cladirilor
536,8122,Activitati specializate de curatenie a cladirilor
537,8129,Alte activitati de curatenie n.c.a.
538,8130,Activitati de intretinere peisagistica
539,8211,Activitati combinate de secretariat
540,8219,Activitati de fotocopiere
541,8220,Activitati ale centrelor de intermediere telefonica (call center
542,8230,Activitati de organizare a expozitiilor
543,8291,Activitati ale agentiilor de colectare si a birourilor (oficiilor de raportare a creditului
544,8292,Activitati de ambalare
545,8299,Alte activitati de servicii suport pentru intreprinderi n.c.a.
546,8411,Servicii de administratie publica generala
547,8412,Reglementarea activitatilor organismelor care presteaza servicii in domeniul ingrijirii sanatatii
548,8413,Reglementarea si eficientizarea activitatilor economice
549,8421,Activitati de servicii externe
550,8422,Activitati de aparare nationala
551,8423,Activitati de justitie
552,8424,Activitati de ordine publica si de protectie civila
553,8425,Activitati de lupta impotriva incendiilor si de prevenire a acestora
554,8430,Activitati de protectie sociala obligatorie
555,8510,invatamant prescolar
556,8520,invatamant primar
557,8531,invatamant secundar general
558,8532,invatamant secundar
559,8541,invatamant superior nonuniversitar
560,8542,invatamant superior universitar
561,8551,invatamant in domeniul sportiv si recreational
562,8552,invatamant in domeniul cultural (limbi straine
563,8553,scoli de conducere (pilotaj
564,8559,Alte forme de invatamant n.c.a.
565,8560,Activitati de servicii suport pentru invatamant
566,8610,Activitati de asistenta spitaliceasca
567,8621,Activitati de asistenta medicala generala
568,8622,Activitati de asistenta medicala specializata
569,8623,Activitati de asistenta stomatologica
